TITLE = "Grid: prim/mr_v4.2_no_tail_wing_v2_wing_set_0.17_targ_coarse_lvl_2.grid, Pointdata: sol/sol.pval.unsteady_i=1800_t=3.6000000e-01" 
VARIABLES = "Y", fx, fy, fz, mx, my, mz
#
# Force distributions of the components 
#
ZONE T="DISTR      Wing", F=POINT 
3.031396e+00   1.592860e+03   -4.784947e+02	3.535432e+04   1.078989e+05   9.374380e+03   -6.223755e+03
3.070948e+00   1.564172e+03   -4.897158e+02	3.532246e+04   1.091995e+05   9.369435e+03   -6.190482e+03
3.110500e+00   1.553300e+03   -4.998670e+02	3.532257e+04   1.105967e+05   9.336896e+03   -6.207712e+03
3.150052e+00   1.503759e+03   -5.129259e+02	3.527792e+04   1.118530e+05   9.296915e+03   -6.084155e+03
3.189604e+00   1.492573e+03   -5.269257e+02	3.521464e+04   1.130490e+05   9.200772e+03   -6.088194e+03
3.229156e+00   1.493459e+03   -5.349071e+02	3.517592e+04   1.143153e+05   9.110446e+03   -6.148321e+03
3.268709e+00   1.484131e+03   -5.471187e+02	3.513130e+04   1.155605e+05   9.017762e+03   -6.157669e+03
3.308261e+00   1.435969e+03   -5.508590e+02	3.512216e+04   1.169200e+05   9.016885e+03   -6.052857e+03
3.347813e+00   1.411907e+03   -5.568037e+02	3.503919e+04   1.180312e+05   8.860936e+03   -6.024150e+03
3.387365e+00   1.393025e+03   -5.798102e+02	3.499265e+04   1.192615e+05   8.812053e+03   -5.990274e+03
3.426917e+00   1.388785e+03   -5.818705e+02	3.499713e+04   1.206603e+05   8.754645e+03   -6.038276e+03
3.466469e+00   1.369634e+03   -5.931969e+02	3.494191e+04   1.218529e+05   8.731535e+03   -5.986149e+03
3.506021e+00   1.344021e+03   -6.043806e+02	3.487847e+04   1.230142e+05   8.688401e+03   -5.940827e+03
3.545574e+00   1.338174e+03   -6.121887e+02	3.484177e+04   1.242630e+05   8.586544e+03   -5.968003e+03
3.585126e+00   1.336894e+03   -6.314623e+02	3.480450e+04   1.255094e+05   8.538984e+03   -5.982035e+03
3.624678e+00   1.308716e+03   -6.425112e+02	3.473530e+04   1.266356e+05   8.445524e+03   -5.911548e+03
3.664230e+00   1.286382e+03   -6.480047e+02	3.467476e+04   1.277872e+05   8.277477e+03   -5.874518e+03
3.703782e+00   1.268553e+03   -6.593712e+02	3.463245e+04   1.290039e+05   8.231666e+03   -5.862084e+03
3.743334e+00   1.258095e+03   -6.618487e+02	3.459287e+04   1.302242e+05   8.154846e+03   -5.859471e+03
3.782886e+00   1.206097e+03   -6.731898e+02	3.453034e+04   1.313572e+05   8.129661e+03   -5.706147e+03
3.822438e+00   1.206854e+03   -6.851786e+02	3.451580e+04   1.326679e+05   8.031084e+03   -5.738962e+03
3.861991e+00   1.184049e+03   -6.951690e+02	3.446620e+04   1.338419e+05   8.002395e+03   -5.678011e+03
3.901543e+00   1.172972e+03   -7.035159e+02	3.439636e+04   1.349345e+05   7.840930e+03   -5.679979e+03
3.941095e+00   1.188780e+03   -7.141325e+02	3.434775e+04   1.361046e+05   7.785563e+03   -5.772104e+03
3.980647e+00   1.168023e+03   -7.205374e+02	3.428948e+04   1.372312e+05   7.682008e+03   -5.718207e+03
4.020199e+00   1.191300e+03   -7.342108e+02	3.425313e+04   1.384423e+05   7.567749e+03   -5.841271e+03
4.059751e+00   1.159050e+03   -7.466950e+02	3.421324e+04   1.396381e+05   7.454386e+03   -5.739570e+03
4.099303e+00   1.153114e+03   -7.594502e+02	3.416169e+04   1.407811e+05   7.315600e+03   -5.742445e+03
4.138855e+00   1.140027e+03   -7.634828e+02	3.412111e+04   1.419654e+05   7.280592e+03   -5.728555e+03
4.178408e+00   1.141894e+03   -7.712796e+02	3.405114e+04   1.430220e+05   7.144714e+03   -5.777722e+03
4.217960e+00   1.120517e+03   -7.745586e+02	3.397698e+04   1.440563e+05   7.041824e+03   -5.714304e+03
4.257512e+00   1.112650e+03   -7.948448e+02	3.394541e+04   1.452693e+05   6.957878e+03   -5.700110e+03
4.297064e+00   1.088603e+03   -8.013500e+02	3.389242e+04   1.463863e+05   6.833405e+03   -5.646181e+03
